individual_id,date,growth_form,stem_diameter
NEON.PLA.D16.WREF.04486,2019-11-19,small tree,3.9
NEON.PLA.D16.WREF.04617,2017-10-23,single bole tree,56.5
NEON.PLA.D16.WREF.03669A,2017-10-25,multi-bole tree,41.9
NEON.PLA.D16.WREF.08692,2019-11-19,single bole tree,47
NEON.PLA.D16.WREF.05502,2017-10-25,single bole tree,16.8
NEON.PLA.D16.WREF.02164,2017-10-26,single bole tree,16
NEON.PLA.D16.WREF.02016,2020-10-22,single bole tree,34.6
NEON.PLA.D16.WREF.04501,2017-10-18,single bole tree,11.4
NEON.PLA.D16.WREF.04621,2020-10-29,single bole tree,13.9
NEON.PLA.D16.WREF.02094,2020-10-22,single bole tree,29.7
NEON.PLA.D16.WREF.03223,2021-10-19,single bole tree,27.1
NEON.PLA.D16.WREF.04632,2019-12-09,single bole tree,55.7
NEON.PLA.D16.WREF.05102,2017-10-23,small tree,1.4
NEON.PLA.D16.WREF.09781,2022-11-02,single bole tree,25.4
NEON.PLA.D16.WREF.05484,2021-04-05,single bole tree,22.9
NEON.PLA.D16.WREF.03470,2017-11-01,single bole tree,39.8
NEON.PLA.D16.WREF.04708,2017-10-24,small tree,1.4
NEON.PLA.D16.WREF.05716,2023-09-18,single bole tree,20.6
NEON.PLA.D16.WREF.07487,2019-12-05,single bole tree,75.9
NEON.PLA.D16.WREF.04405,2023-09-19,single bole tree,33.9
NEON.PLA.D16.WREF.08703,2019-11-19,single bole tree,14.2
NEON.PLA.D16.WREF.02073,2017-11-01,single bole tree,22.4
NEON.PLA.D16.WREF.03422,2021-04-07,small tree,2.8
NEON.PLA.D16.WREF.04520,2022-10-18,small tree,6.8
NEON.PLA.D16.WREF.05764,2017-10-26,small tree,5.8
NEON.PLA.D16.WREF.04483,2022-09-27,small tree,5
NEON.PLA.D16.WREF.04473,2020-10-19,single bole tree,43.7
NEON.PLA.D16.WREF.05527,2021-03-01,small tree,6.8
NEON.PLA.D16.WREF.07669,2022-10-24,single bole tree,79.8
NEON.PLA.D16.WREF.05759,2023-09-19,small tree,3.9
NEON.PLA.D16.WREF.05733,2023-09-18,single bole tree,25.3
NEON.PLA.D16.WREF.09766,2019-12-05,single shrub,5.5
NEON.PLA.D16.WREF.04402,2023-09-19,single bole tree,52.6
NEON.PLA.D16.WREF.04226,2020-09-30,small tree,2.2
NEON.PLA.D16.WREF.04656,2017-10-23,single bole tree,23.6
NEON.PLA.D16.WREF.05747,2019-11-18,single bole tree,100.8
NEON.PLA.D16.WREF.09141,2019-12-04,single bole tree,28.9
NEON.PLA.D16.WREF.04417,2021-10-14,single bole tree,31.1
NEON.PLA.D16.WREF.02191,2017-10-25,single shrub,2.1
NEON.PLA.D16.WREF.02312,2017-10-31,single shrub,1.5
NEON.PLA.D16.WREF.04381,2021-04-02,small tree,3.7
NEON.PLA.D16.WREF.05581,2020-09-30,small tree,1.2
NEON.PLA.D16.WREF.02153,2017-10-26,single bole tree,24.5
NEON.PLA.D16.WREF.04077,2020-10-06,single bole tree,16
NEON.PLA.D16.WREF.05221,2021-04-05,single bole tree,14.2
NEON.PLA.D16.WREF.04185,2017-10-18,single bole tree,21.3
